sample_id,group,filename,genome_build,data_type,assay,source_database,study
EE87947,Healthy,EE87947.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87948,Healthy,EE87948.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87949,Healthy,EE87949.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87950,Healthy,EE87950.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87951,Healthy,EE87951.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87952,Healthy,EE87952.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87953,Healthy,EE87953.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87954,Healthy,EE87954.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87955,Healthy,EE87955.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87956,Healthy,EE87956.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87957,Healthy,EE87957.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87958,Healthy,EE87958.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87959,Healthy,EE87959.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87960,Healthy,EE87960.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87961,Healthy,EE87961.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87962,Healthy,EE87962.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87963,Healthy,EE87963.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87964,Healthy,EE87964.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87965,Healthy,EE87965.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87966,Healthy,EE87966.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87967,Healthy,EE87967.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87968,Healthy,EE87968.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87969,Healthy,EE87969.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87970,Healthy,EE87970.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87988,Healthy,EE87988.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87989,Healthy,EE87989.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87990,Healthy,EE87990.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
